id,pruning_kind,pruning_edge,local_decisions,local_base_count,local_valid_count,local_base_dim,local_valid_dim,removed_dim,cone_mask_count,base_allowed_cone_count,base_allowed_cone_rank,valid_preserving_cone_count,valid_preserving_cone_rank,base_clique_closure_mask_count,base_clique_closure_mask_rank,graph_base_generator_count,graph_base_generator_rank,edge_rule_base_generator_count,edge_rule_base_generator_rank,graph_valid_span_stabilizer_count,graph_valid_span_stabilizer_rank,mirror_rule_generator_count,mirror_rule_generator_rank,edge_rule_mirror_generator_count,edge_rule_mirror_generator_rank,full_base_stabilizer_count,full_base_stabilizer_rank,full_valid_stabilizer_count,full_valid_stabilizer_rank,separating_cone_count,separating_allowed_cone_count,separating_allowed_cone_rank,separating_killed_cone_count,separating_killed_cone_rank,predicted_valid_by_killed_rank,predicted_valid_by_allowed_rank,predicted_valid_by_valid_rank,predicted_valid_by_full_valid_rank,predicted_valid_by_graph_valid_span,predicted_valid_by_mirror_rule,predicted_valid_by_edge_rule_mirror,h2_killed_rank_matches,h2_allowed_rank_matches,valid_rank_matches,graph_valid_span_rank_matches,mirror_rule_rank_matches,edge_rule_mirror_rank_matches,full_valid_rank_matches,full_base_stabilizer_in_graph_span,full_valid_stabilizer_in_graph_span,graph_base_rank_matches_full_base,edge_rule_base_rank_matches_full_base,full_base_stabilizer_in_edge_rule_span,graph_valid_rank_matches_full_valid,full_valid_stabilizer_in_mirror_rule_span,mirror_rule_rank_matches_full_valid,edge_rule_mirror_rank_matches_full_valid,full_valid_stabilizer_in_edge_rule_mirror_span,base_orbits_under_allowed_cones,base_largest_orbit_under_allowed_cones,valid_orbits_under_preserving_cones,valid_largest_orbit_under_preserving_cones,full_valid_orbits_under_stabilizer,full_valid_largest_orbit_under_stabilizer,base_single_orbit,valid_single_orbit,full_valid_single_orbit,base_is_affine_subspace,valid_is_affine_subspace,base_affine_hull_rank,valid_affine_hull_rank,decisions,base_allowed_cones,valid_preserving_cones,base_clique_closure_masks,graph_base_generators,edge_rule_base_generators,graph_valid_span_stabilizer_masks,mirror_rule_generators,mirror_rule_span_masks,edge_rule_mirror_generators,edge_rule_mirror_span_masks,full_valid_stabilizer_masks,separating_allowed_cones,separating_killed_cones,base_cliques,base_clique_transitions,base_clique_overlaps,local_base_cliques,local_base_clique_transitions,local_base_clique_overlaps,local_base_clique_paths,local_base_clique_max_path
ddgp-last-seed-0001,last-seed,1-8,2,4,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,4,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,4,1,2,1,2,True,True,True,True,True,2,1,"{4,8}","{4,8};{8}","{4,8}","{8};{4,8}","{8};{4,8}","{8}@{2,4}:base-clique;{8}@{2,4}:cone;{4,8}@{1,2}:base-clique;{4,8}@{1,2}:cone","{4,8};{}","{4,8}@{1,2}:base-clique;{4,8}@{1,2}:cone","{};{4,8}","{4,8}@{1,2}:base-clique;{4,8}@{1,2}:cone","{};{4,8}","{};{4,8}","{4,8};{8}",{8},5,3,7,2,1,1,1,1
ddgp-last-seed-0002,last-seed,2-8,1,2,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,2,1,1,1,1,True,True,True,True,True,1,0,{8},{8},,{8},{8},"{8}@{1,3}:base-clique;{8}@{1,3}:cone",{},,{},,{},{},{8},{8},4,1,5,3,0,3,0,0
ddgp-last-seed-0003,last-seed,1-8,3,2,1,1,0,1,3,1,1,0,0,3,3,1,1,1,1,1,0,0,0,0,0,2,1,1,0,3,1,1,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,2,1,1,1,1,True,True,True,True,True,1,0,"{4,7,8}",{8},,"{8};{7,8};{4,7,8}",{8},"{8}@{3,7}:base-clique;{8}@{3,7}:cone",{},,{},,{},{},{8},{8},4,3,3,4,3,3,4,2
ddgp-last-seed-0004,last-seed,2-8,1,2,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,2,1,1,1,1,True,True,True,True,True,1,0,{8},{8},,{8},{8},"{8}@{1,3}:base-clique;{8}@{1,3}:cone",{},,{},,{},{},{8},{8},4,2,4,2,0,1,0,0
ddgp-last-seed-0005,last-seed,1-8,2,4,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,4,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,4,1,2,1,2,True,True,True,True,True,2,1,"{6,8}","{6,8};{8}","{6,8}","{8};{6,8}","{8};{6,8}","{8}@{2,6}:base-clique;{8}@{2,6}:cone;{6,8}@{1,2}:base-clique;{6,8}@{1,2}:cone","{6,8};{}","{6,8}@{1,2}:base-clique;{6,8}@{1,2}:cone","{};{6,8}","{6,8}@{1,2}:base-clique;{6,8}@{1,2}:cone","{};{6,8}","{};{6,8}","{6,8};{8}",{8},5,3,6,2,1,1,1,1
ddgp-last-seed-0006,last-seed,1-8,2,2,1,1,0,1,2,1,1,0,0,2,2,1,1,1,1,1,0,0,0,0,0,2,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,2,1,1,1,1,True,True,True,True,True,1,0,"{4,8}",{8},,"{8};{4,8}",{8},"{8}@{2,4}:base-clique;{8}@{2,4}:cone",{},,{},,{},{},{8},{8},3,2,1,2,1,0,1,1
ddgp-last-seed-0007,last-seed,2-8,4,2,1,1,0,1,4,1,1,0,0,4,4,1,1,1,1,1,0,0,0,0,0,2,1,1,0,4,1,1,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,2,1,1,1,1,True,True,True,True,True,1,0,"{4,6,7,8}",{8},,"{8};{7,8};{6,8};{4,7,8}",{8},"{8}@{6,7}:base-clique;{8}@{6,7}:cone",{},,{},,{},{},{8},{8},4,3,3,4,3,3,4,2
ddgp-last-seed-0008,last-seed,1-8,3,2,1,1,0,1,3,1,1,0,0,3,3,1,1,1,1,1,0,0,0,0,0,2,1,1,0,3,1,1,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,2,1,1,1,1,True,True,True,True,True,1,0,"{4,6,8}",{8},,"{8};{6,8};{4,6,8}",{8},"{8}@{2,6}:base-clique;{8}@{2,6}:cone",{},,{},,{},{},{8},{8},3,2,1,3,2,1,3,2
ddgp-last-seed-0009,last-seed,2-8,3,4,2,2,1,1,3,2,2,1,1,3,3,2,2,2,2,2,1,1,1,1,1,4,2,2,1,3,2,2,1,1,2,1,2,2,2,2,2,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,4,1,2,1,2,True,True,True,True,True,2,1,"{6,7,8}","{6,7,8};{8}","{6,7,8}","{8};{7,8};{6,7,8}","{8};{6,7,8}","{8}@{3,7}:base-clique;{8}@{3,7}:cone;{6,7,8}@{2,3}:base-clique;{6,7,8}@{2,3}:cone","{};{6,7,8}","{6,7,8}@{2,3}:base-clique;{6,7,8}@{2,3}:cone","{};{6,7,8}","{6,7,8}@{2,3}:base-clique;{6,7,8}@{2,3}:cone","{};{6,7,8}","{};{6,7,8}","{6,7,8};{8}",{8},5,3,7,3,2,2,3,2
ddgp-last-seed-0010,last-seed,1-8,4,2,1,1,0,1,4,1,1,0,0,4,4,1,1,1,1,1,0,0,0,0,0,2,1,1,0,4,1,1,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,2,1,1,1,1,True,True,True,True,True,1,0,"{4,5,6,8}",{8},,"{8};{6,8};{5,6,8};{4,6,8}",{8},"{8}@{3,6}:base-clique;{8}@{3,6}:cone",{},,{},,{},{},{8},{8},5,3,5,5,3,5,5,2
