id,mode,k,n,pruning_count,pruning_edges,local_decisions,local_base_count,local_valid_count,local_base_dim,local_valid_dim,base_is_affine_subspace,valid_is_affine_subspace,base_affine_hull_rank,valid_affine_hull_rank,full_base_stabilizer_rank,full_valid_stabilizer_rank,full_valid_rank_matches,edge_rule_base_generator_rank,edge_rule_valid_generator_rank,predicted_valid_by_edge_rule,edge_rule_rank_matches,edge_rule_rank_matches_full_valid,full_valid_stabilizer_in_edge_rule_span,violation_kernel_valid_rank,violation_kernel_valid_formula_rank,violation_kernel_formula_rank_matches_masks,predicted_valid_by_violation_kernel,violation_kernel_rank_matches,violation_kernel_rank_matches_full_valid,full_valid_stabilizer_in_violation_kernel_span,labelled_violation_kernel_valid_rank,labelled_violation_kernel_valid_formula_rank,labelled_violation_kernel_formula_rank_matches_masks,predicted_valid_by_labelled_violation_kernel,labelled_violation_kernel_rank_matches,labelled_violation_kernel_rank_matches_full_valid,full_valid_stabilizer_in_labelled_violation_kernel_span,graph_valid_span_rank,graph_valid_span_rank_matches,graph_valid_rank_matches_full_valid,decisions,fix_union,edge_rule_base_generators,edge_rule_valid_generators,edge_rule_valid_span_masks,violation_kernel_valid_masks,labelled_violation_kernel_valid_masks,full_valid_stabilizer_masks,base_cliques,base_clique_transitions,base_clique_overlaps,local_base_cliques,local_base_clique_transitions,local_base_clique_overlaps,local_base_clique_paths,local_base_clique_max_path
dmdgp-p2-n10-0001,dmdgp,3,10,2,1-5;3-8,4,16,2,4,1,True,True,4,1,4,1,True,4,1,2,True,True,True,2,2,True,4,False,False,True,1,1,True,2,True,True,True,1,True,True,"{5,6,7,8}","{1,2,3,4,5,6,7,8}","{8}@{5,6,7}:base-clique;{8}@{5,6,7}:cone;{7,8}@{4,5,6}:base-clique;{7,8}@{4,5,6}:cone;{6,7,8}@{3,4,5}:base-clique;{6,7,8}@{3,4,5}:cone;{5,6,7,8}@{2,3,4}:base-clique;{5,6,7,8}@{2,3,4}:cone","{6,7,8}@{3,4,5}:base-clique;{6,7,8}@{3,4,5}:cone","{};{6,7,8}","{};{7};{6,8};{6,7,8}","{};{6,7,8}","{};{6,7,8}",6,12,5,5,9,4,25,4
dmdgp-p2-n10-0002,dmdgp,3,10,2,3-8;3-9,5,32,4,5,2,True,True,5,2,5,2,True,5,2,4,True,True,True,3,3,True,8,False,False,True,2,2,True,4,True,True,True,2,True,True,"{5,6,7,8,9}","{2,3,4,5,6,7,8,9}","{9}@{6,7,8}:base-clique;{9}@{6,7,8}:cone;{8,9}@{5,6,7}:base-clique;{8,9}@{5,6,7}:cone;{7,8,9}@{4,5,6}:base-clique;{7,8,9}@{4,5,6}:cone;{6,7,8,9}@{3,4,5}:base-clique;{6,7,8,9}@{3,4,5}:cone;{5,6,7,8,9}@{2,3,4}:base-clique;{5,6,7,8,9}@{2,3,4}:cone","{6,7,8,9}@{3,4,5}:base-clique;{6,7,8,9}@{3,4,5}:cone;{5,6,7,8,9}@{2,3,4}:base-clique;{5,6,7,8,9}@{2,3,4}:cone","{};{6,7,8,9};{5};{5,6,7,8,9}","{};{7};{6,8,9};{6,7,8,9};{5};{5,7};{5,6,8,9};{5,6,7,8,9}","{};{6,7,8,9};{5};{5,6,7,8,9}","{};{5};{6,7,8,9};{5,6,7,8,9}",6,12,5,6,12,5,52,5
dmdgp-p2-n10-0003,dmdgp,3,10,2,1-5;2-8,4,16,1,4,0,True,True,4,0,4,0,True,4,0,1,True,True,True,2,2,True,4,False,False,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8}","{1,2,3,4,5,6,7,8}","{8}@{5,6,7}:base-clique;{8}@{5,6,7}:cone;{7,8}@{4,5,6}:base-clique;{7,8}@{4,5,6}:cone;{6,7,8}@{3,4,5}:base-clique;{6,7,8}@{3,4,5}:cone;{5,6,7,8}@{2,3,4}:base-clique;{5,6,7,8}@{2,3,4}:cone",,{},"{};{7};{6};{6,7}",{},{},6,12,5,5,9,4,25,4
dmdgp-p2-n10-0004,dmdgp,3,10,2,1-7;3-7,3,8,1,3,0,True,True,3,0,3,0,True,3,0,1,True,True,True,1,1,True,2,False,False,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7}","{1,2,3,4,5,6,7}","{7}@{4,5,6}:base-clique;{7}@{4,5,6}:cone;{6,7}@{3,4,5}:base-clique;{6,7}@{3,4,5}:cone;{5,6,7}@{2,3,4}:base-clique;{5,6,7}@{2,3,4}:cone",,{},{};{5},{},{},6,12,5,4,6,3,11,3
dmdgp-p2-n10-0005,dmdgp,3,10,2,3-8;3-10,6,64,4,6,2,True,True,6,2,6,2,True,6,2,4,True,True,True,4,4,True,16,False,False,True,2,2,True,4,True,True,True,2,True,True,"{5,6,7,8,9,10}","{2,3,4,5,6,7,8,9,10}","{10}@{7,8,9}:base-clique;{10}@{7,8,9}:cone;{9,10}@{6,7,8}:base-clique;{9,10}@{6,7,8}:cone;{8,9,10}@{5,6,7}:base-clique;{8,9,10}@{5,6,7}:cone;{7,8,9,10}@{4,5,6}:base-clique;{7,8,9,10}@{4,5,6}:cone;{6,7,8,9,10}@{3,4,5}:base-clique;{6,7,8,9,10}@{3,4,5}:cone;{5,6,7,8,9,10}@{2,3,4}:base-clique;{5,6,7,8,9,10}@{2,3,4}:cone","{6,7,8,9,10}@{3,4,5}:base-clique;{6,7,8,9,10}@{3,4,5}:cone;{5,6,7,8,9,10}@{2,3,4}:base-clique;{5,6,7,8,9,10}@{2,3,4}:cone","{};{6,7,8,9,10};{5};{5,6,7,8,9,10}","{};{9};{7};{7,9};{6,8,10};{6,8,9,10};{6,7,8,10};{6,7,8,9,10};{5};{5,9};{5,7};{5,7,9};{5,6,8,10};{5,6,8,9,10};{5,6,7,8,10};{5,6,7,8,9,10}","{};{6,7,8,9,10};{5};{5,6,7,8,9,10}","{};{5};{6,7,8,9,10};{5,6,7,8,9,10}",6,12,5,6,12,5,52,5
dmdgp-p2-n10-0006,dmdgp,3,10,2,1-5;4-10,6,64,4,6,2,True,True,6,2,6,2,True,6,2,4,True,True,True,4,4,True,16,False,False,True,2,2,True,4,True,True,True,2,True,True,"{5,6,7,8,9,10}","{1,2,3,4,5,6,7,8,9,10}","{10}@{7,8,9}:base-clique;{10}@{7,8,9}:cone;{9,10}@{6,7,8}:base-clique;{9,10}@{6,7,8}:cone;{8,9,10}@{5,6,7}:base-clique;{8,9,10}@{5,6,7}:cone;{7,8,9,10}@{4,5,6}:base-clique;{7,8,9,10}@{4,5,6}:cone;{6,7,8,9,10}@{3,4,5}:base-clique;{6,7,8,9,10}@{3,4,5}:cone;{5,6,7,8,9,10}@{2,3,4}:base-clique;{5,6,7,8,9,10}@{2,3,4}:cone","{7,8,9,10}@{4,5,6}:base-clique;{7,8,9,10}@{4,5,6}:cone;{6,7,8,9,10}@{3,4,5}:base-clique;{6,7,8,9,10}@{3,4,5}:cone","{};{7,8,9,10};{6};{6,7,8,9,10}","{};{9};{8};{8,9};{7,10};{7,9,10};{7,8,10};{7,8,9,10};{6};{6,9};{6,8};{6,8,9};{6,7,10};{6,7,9,10};{6,7,8,10};{6,7,8,9,10}","{};{7,8,9,10};{6};{6,7,8,9,10}","{};{6};{7,8,9,10};{6,7,8,9,10}",6,12,5,6,12,5,52,5
dmdgp-p2-n10-0007,dmdgp,3,10,2,1-7;2-10,6,64,1,6,0,True,True,6,0,6,0,True,6,0,1,True,True,True,4,4,True,16,False,False,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8,9,10}","{1,2,3,4,5,6,7,8,9,10}","{10}@{7,8,9}:base-clique;{10}@{7,8,9}:cone;{9,10}@{6,7,8}:base-clique;{9,10}@{6,7,8}:cone;{8,9,10}@{5,6,7}:base-clique;{8,9,10}@{5,6,7}:cone;{7,8,9,10}@{4,5,6}:base-clique;{7,8,9,10}@{4,5,6}:cone;{6,7,8,9,10}@{3,4,5}:base-clique;{6,7,8,9,10}@{3,4,5}:cone;{5,6,7,8,9,10}@{2,3,4}:base-clique;{5,6,7,8,9,10}@{2,3,4}:cone",,{},"{};{9};{8};{8,9};{6};{6,9};{6,8};{6,8,9};{5,10};{5,9,10};{5,8,10};{5,8,9,10};{5,6,10};{5,6,9,10};{5,6,8,10};{5,6,8,9,10}",{},{},6,12,5,6,12,5,52,5
dmdgp-p2-n10-0008,dmdgp,3,10,2,1-8;3-9,5,32,1,5,0,True,True,5,0,5,0,True,5,0,1,True,True,True,3,3,True,8,False,False,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8,9}","{1,2,3,4,5,6,7,8,9}","{9}@{6,7,8}:base-clique;{9}@{6,7,8}:cone;{8,9}@{5,6,7}:base-clique;{8,9}@{5,6,7}:cone;{7,8,9}@{4,5,6}:base-clique;{7,8,9}@{4,5,6}:cone;{6,7,8,9}@{3,4,5}:base-clique;{6,7,8,9}@{3,4,5}:cone;{5,6,7,8,9}@{2,3,4}:base-clique;{5,6,7,8,9}@{2,3,4}:cone",,{},"{};{7};{6,9};{6,7,9};{5};{5,7};{5,6,9};{5,6,7,9}",{},{},6,12,5,6,12,5,52,5
dmdgp-p2-n10-0009,dmdgp,3,10,2,2-10;5-9,6,64,2,6,1,True,True,6,1,6,1,True,6,1,2,True,True,True,4,4,True,16,False,False,True,1,1,True,2,True,True,True,1,True,True,"{5,6,7,8,9,10}","{2,3,4,5,6,7,8,9,10}","{10}@{7,8,9}:base-clique;{10}@{7,8,9}:cone;{9,10}@{6,7,8}:base-clique;{9,10}@{6,7,8}:cone;{8,9,10}@{5,6,7}:base-clique;{8,9,10}@{5,6,7}:cone;{7,8,9,10}@{4,5,6}:base-clique;{7,8,9,10}@{4,5,6}:cone;{6,7,8,9,10}@{3,4,5}:base-clique;{6,7,8,9,10}@{3,4,5}:cone;{5,6,7,8,9,10}@{2,3,4}:base-clique;{5,6,7,8,9,10}@{2,3,4}:cone","{5,6,7,8,9,10}@{2,3,4}:base-clique;{5,6,7,8,9,10}@{2,3,4}:cone","{};{5,6,7,8,9,10}","{};{8,9};{7};{7,8,9};{6};{6,8,9};{6,7};{6,7,8,9};{5,10};{5,8,9,10};{5,7,10};{5,7,8,9,10};{5,6,10};{5,6,8,9,10};{5,6,7,10};{5,6,7,8,9,10}","{};{5,6,7,8,9,10}","{};{5,6,7,8,9,10}",6,12,5,6,12,5,52,5
dmdgp-p2-n10-0010,dmdgp,3,10,2,1-10;2-8,6,64,1,6,0,True,True,6,0,6,0,True,6,0,1,True,True,True,4,4,True,16,False,False,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8,9,10}","{1,2,3,4,5,6,7,8,9,10}","{10}@{7,8,9}:base-clique;{10}@{7,8,9}:cone;{9,10}@{6,7,8}:base-clique;{9,10}@{6,7,8}:cone;{8,9,10}@{5,6,7}:base-clique;{8,9,10}@{5,6,7}:cone;{7,8,9,10}@{4,5,6}:base-clique;{7,8,9,10}@{4,5,6}:cone;{6,7,8,9,10}@{3,4,5}:base-clique;{6,7,8,9,10}@{3,4,5}:cone;{5,6,7,8,9,10}@{2,3,4}:base-clique;{5,6,7,8,9,10}@{2,3,4}:cone",,{},"{};{9};{7};{7,9};{6};{6,9};{6,7};{6,7,9};{5,8};{5,8,9};{5,7,8};{5,7,8,9};{5,6,8};{5,6,8,9};{5,6,7,8};{5,6,7,8,9}",{},{},6,12,5,6,12,5,52,5
