id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,graph_generator_count,graph_generator_rank,base_labelled_violation_count,base_labelled_violation_rank,base_combined_mask_violation_rank,base_kernel_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,valid_labelled_violation_count,valid_labelled_violation_rank,valid_combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,base_rank_identity_holds,valid_rank_identity_holds,graph_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
dmdgp-p2-n10-0001,dmdgp,2,10,2,4-7;5-9,"{2,3,4,5,6,7,8,9}","{4,5,6,7,8,9}",6,12,6,0,0,6,6,64,6,3,8,3,3,6,3,8,True,True,"{9}@{7,8}:base-clique;{9}@{7,8}:cone;{8,9}@{6,7}:base-clique;{8,9}@{6,7}:cone;{7,8,9}@{5,6}:base-clique;{7,8,9}@{5,6}:cone;{6,7,8,9}@{4,5}:base-clique;{6,7,8,9}@{4,5}:cone;{5,6,7,8,9}@{3,4}:base-clique;{5,6,7,8,9}@{3,4}:cone;{4,5,6,7,8,9}@{2,3}:base-clique;{4,5,6,7,8,9}@{2,3}:cone","{6,7,8,9}@{4,5}:base-clique;{6,7,8,9}@{4,5}:cone;{5,6,7,8,9}@{3,4}:base-clique;{5,6,7,8,9}@{3,4}:cone;{4,5,6,7,8,9}@{2,3}:base-clique;{4,5,6,7,8,9}@{2,3}:cone",64,8,6,3,True,True,True
dmdgp-p2-n10-0002,dmdgp,2,10,2,1-4;7-10,"{1,2,3,4,5,6,7,8,9,10}","{4,5,6,7,8,9,10}",7,14,7,0,0,7,7,128,10,5,32,2,2,7,5,32,True,True,"{10}@{8,9}:base-clique;{10}@{8,9}:cone;{9,10}@{7,8}:base-clique;{9,10}@{7,8}:cone;{8,9,10}@{6,7}:base-clique;{8,9,10}@{6,7}:cone;{7,8,9,10}@{5,6}:base-clique;{7,8,9,10}@{5,6}:cone;{6,7,8,9,10}@{4,5}:base-clique;{6,7,8,9,10}@{4,5}:cone;{5,6,7,8,9,10}@{3,4}:base-clique;{5,6,7,8,9,10}@{3,4}:cone;{4,5,6,7,8,9,10}@{2,3}:base-clique;{4,5,6,7,8,9,10}@{2,3}:cone","{9,10}@{7,8}:base-clique;{9,10}@{7,8}:cone;{8,9,10}@{6,7}:base-clique;{8,9,10}@{6,7}:cone;{7,8,9,10}@{5,6}:base-clique;{7,8,9,10}@{5,6}:cone;{6,7,8,9,10}@{4,5}:base-clique;{6,7,8,9,10}@{4,5}:cone;{5,6,7,8,9,10}@{3,4}:base-clique;{5,6,7,8,9,10}@{3,4}:cone",128,32,7,5,True,True,True
dmdgp-p2-n10-0003,dmdgp,2,10,2,3-8;3-9,"{2,3,4,5,6,7,8,9}","{4,5,6,7,8,9}",6,12,6,0,0,6,6,64,4,2,4,7,4,6,2,4,True,True,"{9}@{7,8}:base-clique;{9}@{7,8}:cone;{8,9}@{6,7}:base-clique;{8,9}@{6,7}:cone;{7,8,9}@{5,6}:base-clique;{7,8,9}@{5,6}:cone;{6,7,8,9}@{4,5}:base-clique;{6,7,8,9}@{4,5}:cone;{5,6,7,8,9}@{3,4}:base-clique;{5,6,7,8,9}@{3,4}:cone;{4,5,6,7,8,9}@{2,3}:base-clique;{4,5,6,7,8,9}@{2,3}:cone","{5,6,7,8,9}@{3,4}:base-clique;{5,6,7,8,9}@{3,4}:cone;{4,5,6,7,8,9}@{2,3}:base-clique;{4,5,6,7,8,9}@{2,3}:cone",64,4,6,2,True,True,True
dmdgp-p2-n10-0004,dmdgp,2,10,2,1-4;4-10,"{1,2,3,4,5,6,7,8,9,10}","{4,5,6,7,8,9,10}",7,14,7,0,0,7,7,128,4,2,4,5,5,7,2,4,True,True,"{10}@{8,9}:base-clique;{10}@{8,9}:cone;{9,10}@{7,8}:base-clique;{9,10}@{7,8}:cone;{8,9,10}@{6,7}:base-clique;{8,9,10}@{6,7}:cone;{7,8,9,10}@{5,6}:base-clique;{7,8,9,10}@{5,6}:cone;{6,7,8,9,10}@{4,5}:base-clique;{6,7,8,9,10}@{4,5}:cone;{5,6,7,8,9,10}@{3,4}:base-clique;{5,6,7,8,9,10}@{3,4}:cone;{4,5,6,7,8,9,10}@{2,3}:base-clique;{4,5,6,7,8,9,10}@{2,3}:cone","{6,7,8,9,10}@{4,5}:base-clique;{6,7,8,9,10}@{4,5}:cone;{5,6,7,8,9,10}@{3,4}:base-clique;{5,6,7,8,9,10}@{3,4}:cone",128,4,7,2,True,True,True
dmdgp-p2-n10-0005,dmdgp,2,10,2,2-9;6-9,"{2,3,4,5,6,7,8,9}","{4,5,6,7,8,9}",6,12,6,0,0,6,6,64,2,1,2,6,5,6,1,2,True,True,"{9}@{7,8}:base-clique;{9}@{7,8}:cone;{8,9}@{6,7}:base-clique;{8,9}@{6,7}:cone;{7,8,9}@{5,6}:base-clique;{7,8,9}@{5,6}:cone;{6,7,8,9}@{4,5}:base-clique;{6,7,8,9}@{4,5}:cone;{5,6,7,8,9}@{3,4}:base-clique;{5,6,7,8,9}@{3,4}:cone;{4,5,6,7,8,9}@{2,3}:base-clique;{4,5,6,7,8,9}@{2,3}:cone","{4,5,6,7,8,9}@{2,3}:base-clique;{4,5,6,7,8,9}@{2,3}:cone",64,2,6,1,True,True,True
dmdgp-p2-n10-0006,dmdgp,2,10,2,5-10;6-9,"{2,3,4,5,6,7,8,9,10}","{4,5,6,7,8,9,10}",7,14,7,0,0,7,7,128,8,4,16,4,3,7,4,16,True,True,"{10}@{8,9}:base-clique;{10}@{8,9}:cone;{9,10}@{7,8}:base-clique;{9,10}@{7,8}:cone;{8,9,10}@{6,7}:base-clique;{8,9,10}@{6,7}:cone;{7,8,9,10}@{5,6}:base-clique;{7,8,9,10}@{5,6}:cone;{6,7,8,9,10}@{4,5}:base-clique;{6,7,8,9,10}@{4,5}:cone;{5,6,7,8,9,10}@{3,4}:base-clique;{5,6,7,8,9,10}@{3,4}:cone;{4,5,6,7,8,9,10}@{2,3}:base-clique;{4,5,6,7,8,9,10}@{2,3}:cone","{7,8,9,10}@{5,6}:base-clique;{7,8,9,10}@{5,6}:cone;{6,7,8,9,10}@{4,5}:base-clique;{6,7,8,9,10}@{4,5}:cone;{5,6,7,8,9,10}@{3,4}:base-clique;{5,6,7,8,9,10}@{3,4}:cone;{4,5,6,7,8,9,10}@{2,3}:base-clique;{4,5,6,7,8,9,10}@{2,3}:cone",128,16,7,4,True,True,True
dmdgp-p2-n10-0007,dmdgp,2,10,2,1-10;4-7,"{1,2,3,4,5,6,7,8,9,10}","{4,5,6,7,8,9,10}",7,14,7,0,0,7,7,128,0,0,1,8,7,7,0,1,True,True,"{10}@{8,9}:base-clique;{10}@{8,9}:cone;{9,10}@{7,8}:base-clique;{9,10}@{7,8}:cone;{8,9,10}@{6,7}:base-clique;{8,9,10}@{6,7}:cone;{7,8,9,10}@{5,6}:base-clique;{7,8,9,10}@{5,6}:cone;{6,7,8,9,10}@{4,5}:base-clique;{6,7,8,9,10}@{4,5}:cone;{5,6,7,8,9,10}@{3,4}:base-clique;{5,6,7,8,9,10}@{3,4}:cone;{4,5,6,7,8,9,10}@{2,3}:base-clique;{4,5,6,7,8,9,10}@{2,3}:cone",,128,1,7,0,True,True,True
dmdgp-p2-n10-0008,dmdgp,2,10,2,1-4;3-8,"{1,2,3,4,5,6,7,8}","{4,5,6,7,8}",5,10,5,0,0,5,5,32,2,1,2,4,4,5,1,2,True,True,"{8}@{6,7}:base-clique;{8}@{6,7}:cone;{7,8}@{5,6}:base-clique;{7,8}@{5,6}:cone;{6,7,8}@{4,5}:base-clique;{6,7,8}@{4,5}:cone;{5,6,7,8}@{3,4}:base-clique;{5,6,7,8}@{3,4}:cone;{4,5,6,7,8}@{2,3}:base-clique;{4,5,6,7,8}@{2,3}:cone","{5,6,7,8}@{3,4}:base-clique;{5,6,7,8}@{3,4}:cone",32,2,5,1,True,True,True
dmdgp-p2-n10-0009,dmdgp,2,10,2,2-5;4-7,"{2,3,4,5,6,7}","{4,5,6,7}",4,8,4,0,0,4,4,16,4,2,4,2,2,4,2,4,True,True,"{7}@{5,6}:base-clique;{7}@{5,6}:cone;{6,7}@{4,5}:base-clique;{6,7}@{4,5}:cone;{5,6,7}@{3,4}:base-clique;{5,6,7}@{3,4}:cone;{4,5,6,7}@{2,3}:base-clique;{4,5,6,7}@{2,3}:cone","{6,7}@{4,5}:base-clique;{6,7}@{4,5}:cone;{4,5,6,7}@{2,3}:base-clique;{4,5,6,7}@{2,3}:cone",16,4,4,2,True,True,True
dmdgp-p2-n10-0010,dmdgp,2,10,2,1-5;6-10,"{1,2,3,4,5,6,7,8,9,10}","{4,5,6,7,8,9,10}",7,14,7,0,0,7,7,128,6,3,8,4,4,7,3,8,True,True,"{10}@{8,9}:base-clique;{10}@{8,9}:cone;{9,10}@{7,8}:base-clique;{9,10}@{7,8}:cone;{8,9,10}@{6,7}:base-clique;{8,9,10}@{6,7}:cone;{7,8,9,10}@{5,6}:base-clique;{7,8,9,10}@{5,6}:cone;{6,7,8,9,10}@{4,5}:base-clique;{6,7,8,9,10}@{4,5}:cone;{5,6,7,8,9,10}@{3,4}:base-clique;{5,6,7,8,9,10}@{3,4}:cone;{4,5,6,7,8,9,10}@{2,3}:base-clique;{4,5,6,7,8,9,10}@{2,3}:cone","{8,9,10}@{6,7}:base-clique;{8,9,10}@{6,7}:cone;{7,8,9,10}@{5,6}:base-clique;{7,8,9,10}@{5,6}:cone;{6,7,8,9,10}@{4,5}:base-clique;{6,7,8,9,10}@{4,5}:cone",128,8,7,3,True,True,True
dmdgp-p2-n10-0011,dmdgp,2,10,2,1-4;4-10,"{1,2,3,4,5,6,7,8,9,10}","{4,5,6,7,8,9,10}",7,14,7,0,0,7,7,128,4,2,4,5,5,7,2,4,True,True,"{10}@{8,9}:base-clique;{10}@{8,9}:cone;{9,10}@{7,8}:base-clique;{9,10}@{7,8}:cone;{8,9,10}@{6,7}:base-clique;{8,9,10}@{6,7}:cone;{7,8,9,10}@{5,6}:base-clique;{7,8,9,10}@{5,6}:cone;{6,7,8,9,10}@{4,5}:base-clique;{6,7,8,9,10}@{4,5}:cone;{5,6,7,8,9,10}@{3,4}:base-clique;{5,6,7,8,9,10}@{3,4}:cone;{4,5,6,7,8,9,10}@{2,3}:base-clique;{4,5,6,7,8,9,10}@{2,3}:cone","{6,7,8,9,10}@{4,5}:base-clique;{6,7,8,9,10}@{4,5}:cone;{5,6,7,8,9,10}@{3,4}:base-clique;{5,6,7,8,9,10}@{3,4}:cone",128,4,7,2,True,True,True
dmdgp-p2-n10-0012,dmdgp,2,10,2,3-6;3-10,"{2,3,4,5,6,7,8,9,10}","{4,5,6,7,8,9,10}",7,14,7,0,0,7,7,128,4,2,4,6,5,7,2,4,True,True,"{10}@{8,9}:base-clique;{10}@{8,9}:cone;{9,10}@{7,8}:base-clique;{9,10}@{7,8}:cone;{8,9,10}@{6,7}:base-clique;{8,9,10}@{6,7}:cone;{7,8,9,10}@{5,6}:base-clique;{7,8,9,10}@{5,6}:cone;{6,7,8,9,10}@{4,5}:base-clique;{6,7,8,9,10}@{4,5}:cone;{5,6,7,8,9,10}@{3,4}:base-clique;{5,6,7,8,9,10}@{3,4}:cone;{4,5,6,7,8,9,10}@{2,3}:base-clique;{4,5,6,7,8,9,10}@{2,3}:cone","{5,6,7,8,9,10}@{3,4}:base-clique;{5,6,7,8,9,10}@{3,4}:cone;{4,5,6,7,8,9,10}@{2,3}:base-clique;{4,5,6,7,8,9,10}@{2,3}:cone",128,4,7,2,True,True,True
dmdgp-p2-n10-0013,dmdgp,2,10,2,1-6;7-10,"{1,2,3,4,5,6,7,8,9,10}","{4,5,6,7,8,9,10}",7,14,7,0,0,7,7,128,6,3,8,4,4,7,3,8,True,True,"{10}@{8,9}:base-clique;{10}@{8,9}:cone;{9,10}@{7,8}:base-clique;{9,10}@{7,8}:cone;{8,9,10}@{6,7}:base-clique;{8,9,10}@{6,7}:cone;{7,8,9,10}@{5,6}:base-clique;{7,8,9,10}@{5,6}:cone;{6,7,8,9,10}@{4,5}:base-clique;{6,7,8,9,10}@{4,5}:cone;{5,6,7,8,9,10}@{3,4}:base-clique;{5,6,7,8,9,10}@{3,4}:cone;{4,5,6,7,8,9,10}@{2,3}:base-clique;{4,5,6,7,8,9,10}@{2,3}:cone","{9,10}@{7,8}:base-clique;{9,10}@{7,8}:cone;{8,9,10}@{6,7}:base-clique;{8,9,10}@{6,7}:cone;{7,8,9,10}@{5,6}:base-clique;{7,8,9,10}@{5,6}:cone",128,8,7,3,True,True,True
