id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,base_generator_count,base_generator_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,labelled_violation_count,labelled_violation_rank,combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,rank_identity_holds,base_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
dmdgp-p2-n10-0001,dmdgp,3,10,2,1-5;3-8,"{1,2,3,4,5,6,7,8}","{5,6,7,8}",4,8,4,16,2,1,2,3,3,4,1,2,True,"{8}@{5,6,7}:base-clique;{8}@{5,6,7}:cone;{7,8}@{4,5,6}:base-clique;{7,8}@{4,5,6}:cone;{6,7,8}@{3,4,5}:base-clique;{6,7,8}@{3,4,5}:cone;{5,6,7,8}@{2,3,4}:base-clique;{5,6,7,8}@{2,3,4}:cone","{6,7,8}@{3,4,5}:base-clique;{6,7,8}@{3,4,5}:cone",16,2,4,1,True,True,True
dmdgp-p2-n10-0002,dmdgp,3,10,2,3-8;3-9,"{2,3,4,5,6,7,8,9}","{5,6,7,8,9}",5,10,5,32,4,2,4,5,3,5,2,4,True,"{9}@{6,7,8}:base-clique;{9}@{6,7,8}:cone;{8,9}@{5,6,7}:base-clique;{8,9}@{5,6,7}:cone;{7,8,9}@{4,5,6}:base-clique;{7,8,9}@{4,5,6}:cone;{6,7,8,9}@{3,4,5}:base-clique;{6,7,8,9}@{3,4,5}:cone;{5,6,7,8,9}@{2,3,4}:base-clique;{5,6,7,8,9}@{2,3,4}:cone","{6,7,8,9}@{3,4,5}:base-clique;{6,7,8,9}@{3,4,5}:cone;{5,6,7,8,9}@{2,3,4}:base-clique;{5,6,7,8,9}@{2,3,4}:cone",32,4,5,2,True,True,True
dmdgp-p2-n10-0003,dmdgp,3,10,2,1-5;2-8,"{1,2,3,4,5,6,7,8}","{5,6,7,8}",4,8,4,16,0,0,1,4,4,4,0,1,True,"{8}@{5,6,7}:base-clique;{8}@{5,6,7}:cone;{7,8}@{4,5,6}:base-clique;{7,8}@{4,5,6}:cone;{6,7,8}@{3,4,5}:base-clique;{6,7,8}@{3,4,5}:cone;{5,6,7,8}@{2,3,4}:base-clique;{5,6,7,8}@{2,3,4}:cone",,16,1,4,0,True,True,True
dmdgp-p2-n10-0004,dmdgp,3,10,2,1-7;3-7,"{1,2,3,4,5,6,7}","{5,6,7}",3,6,3,8,0,0,1,4,3,3,0,1,True,"{7}@{4,5,6}:base-clique;{7}@{4,5,6}:cone;{6,7}@{3,4,5}:base-clique;{6,7}@{3,4,5}:cone;{5,6,7}@{2,3,4}:base-clique;{5,6,7}@{2,3,4}:cone",,8,1,3,0,True,True,True
dmdgp-p2-n10-0005,dmdgp,3,10,2,3-8;3-10,"{2,3,4,5,6,7,8,9,10}","{5,6,7,8,9,10}",6,12,6,64,4,2,4,6,4,6,2,4,True,"{10}@{7,8,9}:base-clique;{10}@{7,8,9}:cone;{9,10}@{6,7,8}:base-clique;{9,10}@{6,7,8}:cone;{8,9,10}@{5,6,7}:base-clique;{8,9,10}@{5,6,7}:cone;{7,8,9,10}@{4,5,6}:base-clique;{7,8,9,10}@{4,5,6}:cone;{6,7,8,9,10}@{3,4,5}:base-clique;{6,7,8,9,10}@{3,4,5}:cone;{5,6,7,8,9,10}@{2,3,4}:base-clique;{5,6,7,8,9,10}@{2,3,4}:cone","{6,7,8,9,10}@{3,4,5}:base-clique;{6,7,8,9,10}@{3,4,5}:cone;{5,6,7,8,9,10}@{2,3,4}:base-clique;{5,6,7,8,9,10}@{2,3,4}:cone",64,4,6,2,True,True,True
dmdgp-p2-n10-0006,dmdgp,3,10,2,1-5;4-10,"{1,2,3,4,5,6,7,8,9,10}","{5,6,7,8,9,10}",6,12,6,64,4,2,4,4,4,6,2,4,True,"{10}@{7,8,9}:base-clique;{10}@{7,8,9}:cone;{9,10}@{6,7,8}:base-clique;{9,10}@{6,7,8}:cone;{8,9,10}@{5,6,7}:base-clique;{8,9,10}@{5,6,7}:cone;{7,8,9,10}@{4,5,6}:base-clique;{7,8,9,10}@{4,5,6}:cone;{6,7,8,9,10}@{3,4,5}:base-clique;{6,7,8,9,10}@{3,4,5}:cone;{5,6,7,8,9,10}@{2,3,4}:base-clique;{5,6,7,8,9,10}@{2,3,4}:cone","{7,8,9,10}@{4,5,6}:base-clique;{7,8,9,10}@{4,5,6}:cone;{6,7,8,9,10}@{3,4,5}:base-clique;{6,7,8,9,10}@{3,4,5}:cone",64,4,6,2,True,True,True
dmdgp-p2-n10-0007,dmdgp,3,10,2,1-7;2-10,"{1,2,3,4,5,6,7,8,9,10}","{5,6,7,8,9,10}",6,12,6,64,0,0,1,8,6,6,0,1,True,"{10}@{7,8,9}:base-clique;{10}@{7,8,9}:cone;{9,10}@{6,7,8}:base-clique;{9,10}@{6,7,8}:cone;{8,9,10}@{5,6,7}:base-clique;{8,9,10}@{5,6,7}:cone;{7,8,9,10}@{4,5,6}:base-clique;{7,8,9,10}@{4,5,6}:cone;{6,7,8,9,10}@{3,4,5}:base-clique;{6,7,8,9,10}@{3,4,5}:cone;{5,6,7,8,9,10}@{2,3,4}:base-clique;{5,6,7,8,9,10}@{2,3,4}:cone",,64,1,6,0,True,True,True
dmdgp-p2-n10-0008,dmdgp,3,10,2,1-8;3-9,"{1,2,3,4,5,6,7,8,9}","{5,6,7,8,9}",5,10,5,32,0,0,1,7,5,5,0,1,True,"{9}@{6,7,8}:base-clique;{9}@{6,7,8}:cone;{8,9}@{5,6,7}:base-clique;{8,9}@{5,6,7}:cone;{7,8,9}@{4,5,6}:base-clique;{7,8,9}@{4,5,6}:cone;{6,7,8,9}@{3,4,5}:base-clique;{6,7,8,9}@{3,4,5}:cone;{5,6,7,8,9}@{2,3,4}:base-clique;{5,6,7,8,9}@{2,3,4}:cone",,32,1,5,0,True,True,True
dmdgp-p2-n10-0009,dmdgp,3,10,2,2-10;5-9,"{2,3,4,5,6,7,8,9,10}","{5,6,7,8,9,10}",6,12,6,64,2,1,2,6,5,6,1,2,True,"{10}@{7,8,9}:base-clique;{10}@{7,8,9}:cone;{9,10}@{6,7,8}:base-clique;{9,10}@{6,7,8}:cone;{8,9,10}@{5,6,7}:base-clique;{8,9,10}@{5,6,7}:cone;{7,8,9,10}@{4,5,6}:base-clique;{7,8,9,10}@{4,5,6}:cone;{6,7,8,9,10}@{3,4,5}:base-clique;{6,7,8,9,10}@{3,4,5}:cone;{5,6,7,8,9,10}@{2,3,4}:base-clique;{5,6,7,8,9,10}@{2,3,4}:cone","{5,6,7,8,9,10}@{2,3,4}:base-clique;{5,6,7,8,9,10}@{2,3,4}:cone",64,2,6,1,True,True,True
dmdgp-p2-n10-0010,dmdgp,3,10,2,1-10;2-8,"{1,2,3,4,5,6,7,8,9,10}","{5,6,7,8,9,10}",6,12,6,64,0,0,1,9,6,6,0,1,True,"{10}@{7,8,9}:base-clique;{10}@{7,8,9}:cone;{9,10}@{6,7,8}:base-clique;{9,10}@{6,7,8}:cone;{8,9,10}@{5,6,7}:base-clique;{8,9,10}@{5,6,7}:cone;{7,8,9,10}@{4,5,6}:base-clique;{7,8,9,10}@{4,5,6}:cone;{6,7,8,9,10}@{3,4,5}:base-clique;{6,7,8,9,10}@{3,4,5}:cone;{5,6,7,8,9,10}@{2,3,4}:base-clique;{5,6,7,8,9,10}@{2,3,4}:cone",,64,1,6,0,True,True,True
