id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,graph_generator_count,graph_generator_rank,base_labelled_violation_count,base_labelled_violation_rank,base_combined_mask_violation_rank,base_kernel_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,valid_labelled_violation_count,valid_labelled_violation_rank,valid_combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,base_rank_identity_holds,valid_rank_identity_holds,graph_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-p2-n10-0001,ddgp,3,10,2,2-6;5-9,"{1,2,3,4,5,6,7,9}","{5,6,7,9}",4,7,4,7,3,4,1,2,0,0,1,10,4,4,0,1,True,True,"{9}@{1,2,7}:base-clique;{9}@{1,2,7}:cone;{7,9}@{2,3,4}:cone;{6}@{1,4,5}:base-clique;{6}@{1,4,5}:cone;{5,6}@{2,3,4}:cone;{5,6,7,9}@{2,3,4}:base-clique",,2,1,1,0,True,True,True
ddgp-p2-n10-0002,ddgp,3,10,2,1-9;4-7,"{1,2,3,4,5,6,7,8,9}","{5,6,7,8,9}",5,10,5,22,5,5,0,1,0,0,1,26,5,5,0,1,True,True,"{9}@{4,5,8}:base-clique;{9}@{4,5,8}:cone;{8,9}@{3,6,7}:base-clique;{8,9}@{3,6,7}:cone;{7,8,9}@{1,2,6}:base-clique;{7,8,9}@{1,2,6}:cone;{6,7,8,9}@{1,2,5}:base-clique;{6,7,8,9}@{1,2,5}:cone;{5,6,7,8,9}@{1,3,4}:base-clique;{5,6,7,8,9}@{1,3,4}:cone",,1,1,0,0,True,True,True
ddgp-p2-n10-0003,ddgp,3,10,2,1-10;7-8,"{1,2,3,4,5,6,7,8,10}","{5,6,7,8,10}",5,10,5,10,3,5,2,4,0,0,1,15,5,5,0,1,True,True,"{10}@{2,4,7}:base-clique;{10}@{2,4,7}:cone;{8}@{1,2,6}:base-clique;{8}@{1,2,6}:cone;{7,10}@{1,5,6}:base-clique;{7,10}@{1,5,6}:cone;{6,7,8,10}@{1,2,4}:base-clique;{6,7,8,10}@{1,2,4}:cone;{5,7,10}@{2,3,4}:base-clique;{5,7,10}@{2,3,4}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0004,ddgp,3,10,2,6-8;6-10,"{1,2,3,4,5,6,7,8,10}","{5,6,7,8,10}",5,10,5,9,3,5,2,4,0,0,1,13,5,5,0,1,True,True,"{10}@{2,3,5}:base-clique;{10}@{2,3,5}:cone;{8}@{1,4,7}:base-clique;{8}@{1,4,7}:cone;{7,8}@{2,4,6}:base-clique;{7,8}@{2,4,6}:cone;{6,7,8}@{2,3,4}:base-clique;{6,7,8}@{2,3,4}:cone;{5,10}@{1,3,4}:base-clique;{5,10}@{1,3,4}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0005,ddgp,3,10,2,2-5;3-10,"{1,2,3,4,5,6,10}","{5,6,10}",3,6,3,2,1,3,2,4,0,0,1,4,3,3,0,1,True,True,"{10}@{1,5,6}:base-clique;{10}@{1,5,6}:cone;{6,10}@{3,4,5}:base-clique;{6,10}@{3,4,5}:cone;{5,6,10}@{1,3,4}:base-clique;{5,6,10}@{1,3,4}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0006,ddgp,3,10,2,2-9;7-8,"{1,2,3,4,5,6,7,8,9}","{5,6,7,8,9}",5,10,5,9,3,5,2,4,0,0,1,12,5,5,0,1,True,True,"{9}@{3,4,5}:base-clique;{9}@{3,4,5}:cone;{8}@{1,2,6}:base-clique;{8}@{1,2,6}:cone;{7}@{3,4,6}:base-clique;{7}@{3,4,6}:cone;{6,7,8}@{1,2,3}:base-clique;{6,7,8}@{1,2,3}:cone;{5,9}@{1,2,4}:base-clique;{5,9}@{1,2,4}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0007,ddgp,3,10,2,5-10;8-9,"{1,2,3,4,5,6,7,8,9,10}","{5,6,7,8,9,10}",6,12,6,17,4,6,2,4,0,0,1,23,6,6,0,1,True,True,"{10}@{2,4,8}:base-clique;{10}@{2,4,8}:cone;{9}@{3,5,6}:base-clique;{9}@{3,5,6}:cone;{8,10}@{1,3,7}:base-clique;{8,10}@{1,3,7}:cone;{7,8,10}@{1,3,6}:base-clique;{7,8,10}@{1,3,6}:cone;{6,7,8,9,10}@{3,4,5}:base-clique;{6,7,8,9,10}@{3,4,5}:cone;{5,6,7,8,9,10}@{1,2,3}:base-clique;{5,6,7,8,9,10}@{1,2,3}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0008,ddgp,3,10,2,4-10;7-10,"{1,2,3,4,5,6,7,10}","{5,6,7,10}",4,7,4,7,3,5,2,4,0,0,1,11,5,5,0,1,True,True,"{10}@{2,5,6}:base-clique;{10}@{2,5,6}:cone;{7}@{1,2,5}:base-clique;{7}@{1,2,5}:cone;{6,10}@{1,3,4}:cone;{5,7,10}@{1,3,4}:cone;{5,6,7,10}@{1,3,4}:base-clique",,4,1,2,0,True,True,True
ddgp-p2-n10-0009,ddgp,3,10,2,4-8;5-7,"{1,2,3,4,5,6,7,8}","{5,6,7,8}",4,8,4,7,3,4,1,2,0,0,1,10,4,4,0,1,True,True,"{8}@{1,2,6}:base-clique;{8}@{1,2,6}:cone;{7}@{1,2,3}:base-clique;{7}@{1,2,3}:cone;{6,8}@{3,4,5}:base-clique;{6,8}@{3,4,5}:cone;{5,6,8}@{1,2,4}:base-clique;{5,6,8}@{1,2,4}:cone",,2,1,1,0,True,True,True
ddgp-p2-n10-0010,ddgp,3,10,2,1-8;9-10,"{1,2,3,4,5,6,7,8,9,10}","{5,6,7,8,9,10}",6,12,6,13,3,6,3,8,0,0,1,19,6,6,0,1,True,True,"{10}@{3,5,7}:base-clique;{10}@{3,5,7}:cone;{9}@{1,2,6}:base-clique;{9}@{1,2,6}:cone;{8}@{2,3,7}:base-clique;{8}@{2,3,7}:cone;{7,8,10}@{3,4,6}:base-clique;{7,8,10}@{3,4,6}:cone;{6,7,8,9,10}@{2,3,5}:base-clique;{6,7,8,9,10}@{2,3,5}:cone;{5,6,7,8,9,10}@{1,2,4}:base-clique;{5,6,7,8,9,10}@{1,2,4}:cone",,8,1,3,0,True,True,True
ddgp-p2-n10-0011,ddgp,3,10,2,6-10;9-10,"{1,2,3,4,5,6,7,9,10}","{5,6,7,9,10}",5,10,5,10,3,5,2,4,0,0,1,13,5,5,0,1,True,True,"{10}@{1,2,7}:base-clique;{10}@{1,2,7}:cone;{9}@{2,5,7}:base-clique;{9}@{2,5,7}:cone;{7,9,10}@{2,4,6}:base-clique;{7,9,10}@{2,4,6}:cone;{6,7,9,10}@{1,2,5}:base-clique;{6,7,9,10}@{1,2,5}:cone;{5,6,7,9,10}@{2,3,4}:base-clique;{5,6,7,9,10}@{2,3,4}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0012,ddgp,3,10,2,4-7;6-7,"{1,2,3,4,5,6,7}","{5,6,7}",3,6,3,2,1,3,2,4,0,0,1,6,3,3,0,1,True,True,"{7}@{1,2,3}:base-clique;{7}@{1,2,3}:cone;{6}@{1,4,5}:base-clique;{6}@{1,4,5}:cone;{5,6}@{2,3,4}:base-clique;{5,6}@{2,3,4}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0013,ddgp,3,10,2,5-9;8-10,"{1,2,3,4,5,8,9,10}","{5,8,9,10}",4,7,4,5,2,4,2,4,0,0,1,7,4,4,0,1,True,True,"{10}@{1,4,5}:cone;{9}@{2,4,8}:base-clique;{9}@{2,4,8}:cone;{8,9}@{1,4,5}:cone;{8,9,10}@{1,4,5}:base-clique;{5,8,9,10}@{2,3,4}:base-clique;{5,8,9,10}@{2,3,4}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0014,ddgp,3,10,2,1-9;4-9,"{1,2,3,4,5,6,8,9}","{5,6,8,9}",4,8,4,10,3,4,1,2,0,0,1,13,4,4,0,1,True,True,"{9}@{2,6,8}:base-clique;{9}@{2,6,8}:cone;{8,9}@{2,4,5}:base-clique;{8,9}@{2,4,5}:cone;{6,9}@{1,4,5}:base-clique;{6,9}@{1,4,5}:cone;{5,6,8,9}@{1,3,4}:base-clique;{5,6,8,9}@{1,3,4}:cone",,2,1,1,0,True,True,True
ddgp-p2-n10-0015,ddgp,3,10,2,1-6;4-9,"{1,2,3,4,5,6,7,9}","{5,6,7,9}",4,8,4,11,3,4,1,2,0,0,1,13,4,4,0,1,True,True,"{9}@{2,6,7}:base-clique;{9}@{2,6,7}:cone;{7,9}@{1,2,4}:base-clique;{7,9}@{1,2,4}:cone;{6,9}@{3,4,5}:base-clique;{6,9}@{3,4,5}:cone;{5,6,9}@{1,3,4}:base-clique;{5,6,9}@{1,3,4}:cone",,2,1,1,0,True,True,True
