id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,graph_generator_count,graph_generator_rank,base_labelled_violation_count,base_labelled_violation_rank,base_combined_mask_violation_rank,base_kernel_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,valid_labelled_violation_count,valid_labelled_violation_rank,valid_combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,base_rank_identity_holds,valid_rank_identity_holds,graph_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-last-seed-0001,ddgp,3,9,1,4-9,"{1,3,4,5,6,9}","{5,6,9}",3,6,3,0,0,3,3,8,2,1,2,2,2,3,1,2,True,True,"{9}@{1,5,6}:base-clique;{9}@{1,5,6}:cone;{6,9}@{1,3,5}:base-clique;{6,9}@{1,3,5}:cone;{5,6,9}@{1,3,4}:base-clique;{5,6,9}@{1,3,4}:cone","{5,6,9}@{1,3,4}:base-clique;{5,6,9}@{1,3,4}:cone",8,2,3,1,True,True,True
ddgp-last-seed-0002,ddgp,3,9,1,2-9,"{1,2,3,4,5,6,9}","{5,6,9}",3,6,3,3,1,3,2,4,2,1,2,4,2,3,1,2,True,True,"{9}@{1,5,6}:base-clique;{9}@{1,5,6}:cone;{6,9}@{1,2,5}:base-clique;{6,9}@{1,2,5}:cone;{5,6,9}@{2,3,4}:base-clique;{5,6,9}@{2,3,4}:cone","{6,9}@{1,2,5}:base-clique;{6,9}@{1,2,5}:cone",4,2,2,1,True,True,True
ddgp-last-seed-0003,ddgp,3,9,1,4-9,"{1,2,3,4,5,6,8,9}","{5,6,8,9}",4,8,4,10,3,4,1,2,0,0,1,13,4,4,0,1,True,True,"{9}@{2,5,8}:base-clique;{9}@{2,5,8}:cone;{8,9}@{2,3,6}:base-clique;{8,9}@{2,3,6}:cone;{6,8,9}@{1,3,5}:base-clique;{6,8,9}@{1,3,5}:cone;{5,6,8,9}@{1,3,4}:base-clique;{5,6,8,9}@{1,3,4}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0004,ddgp,3,9,1,3-9,"{1,2,3,4,9}",{9},1,2,1,0,0,1,1,2,0,0,1,1,1,1,0,1,True,True,"{9}@{1,2,4}:base-clique;{9}@{1,2,4}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0005,ddgp,3,9,1,1-9,"{1,3,4,5,6,9}","{5,6,9}",3,6,3,0,0,3,3,8,4,2,4,1,1,3,2,4,True,True,"{9}@{4,5,6}:base-clique;{9}@{4,5,6}:cone;{6,9}@{1,4,5}:base-clique;{6,9}@{1,4,5}:cone;{5,6,9}@{1,3,4}:base-clique;{5,6,9}@{1,3,4}:cone","{6,9}@{1,4,5}:base-clique;{6,9}@{1,4,5}:cone;{5,6,9}@{1,3,4}:base-clique;{5,6,9}@{1,3,4}:cone",8,4,3,2,True,True,True
ddgp-last-seed-0006,ddgp,3,9,1,1-9,"{1,2,3,4,5,7,9}","{5,7,9}",3,6,3,4,2,3,1,2,0,0,1,5,3,3,0,1,True,True,"{9}@{4,5,7}:base-clique;{9}@{4,5,7}:cone;{7,9}@{1,2,4}:base-clique;{7,9}@{1,2,4}:cone;{5,9}@{1,3,4}:base-clique;{5,9}@{1,3,4}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0007,ddgp,3,9,1,4-9,"{1,2,3,4,5,6,7,9}","{5,6,7,9}",4,8,4,8,3,4,1,2,0,0,1,10,4,4,0,1,True,True,"{9}@{2,5,7}:base-clique;{9}@{2,5,7}:cone;{7,9}@{3,5,6}:base-clique;{7,9}@{3,5,6}:cone;{6,7,9}@{2,4,5}:base-clique;{6,7,9}@{2,4,5}:cone;{5,6,7,9}@{1,3,4}:base-clique;{5,6,7,9}@{1,3,4}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0008,ddgp,3,9,1,3-9,"{1,2,3,4,5,9}","{5,9}",2,4,2,2,1,2,1,2,0,0,1,3,2,2,0,1,True,True,"{9}@{1,4,5}:base-clique;{9}@{1,4,5}:cone;{5,9}@{2,3,4}:base-clique;{5,9}@{2,3,4}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0009,ddgp,3,9,1,3-9,"{1,3,4,5,6,9}","{5,6,9}",3,6,3,2,1,3,2,4,2,1,2,3,2,3,1,2,True,True,"{9}@{1,4,6}:base-clique;{9}@{1,4,6}:cone;{6,9}@{1,3,5}:base-clique;{6,9}@{1,3,5}:cone;{5,6,9}@{1,3,4}:base-clique;{5,6,9}@{1,3,4}:cone","{5,6,9}@{1,3,4}:base-clique;{5,6,9}@{1,3,4}:cone",4,2,2,1,True,True,True
ddgp-last-seed-0010,ddgp,3,9,1,2-9,"{1,2,3,4,5,8,9}","{5,8,9}",3,6,3,4,2,3,1,2,0,0,1,6,3,3,0,1,True,True,"{9}@{1,3,8}:base-clique;{9}@{1,3,8}:cone;{8,9}@{3,4,5}:base-clique;{8,9}@{3,4,5}:cone;{5,8,9}@{2,3,4}:base-clique;{5,8,9}@{2,3,4}:cone",,2,1,1,0,True,True,True
