id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,base_generator_count,base_generator_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,labelled_violation_count,labelled_violation_rank,combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,rank_identity_holds,base_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-p2-n8-0001,ddgp,2,8,2,1-6;6-7,"{1,2,3,4,5,6,7}","{4,5,6,7}",4,6,3,8,0,0,1,5,3,3,0,1,True,"{7}@{3,5}:base-clique;{7}@{3,5}:cone;{6}@{2,4}:base-clique;{6}@{2,4}:cone;{4,6}@{2,3}:base-clique;{4,6}@{2,3}:cone",,8,1,3,0,True,True,True
ddgp-p2-n8-0002,ddgp,2,8,2,1-8;3-7,"{1,2,3,4,5,6,7,8}","{4,5,6,7,8}",5,9,5,32,0,0,1,5,5,5,0,1,True,"{8}@{2,4}:cone;{7}@{5,6}:base-clique;{7}@{5,6}:cone;{6,7}@{4,5}:base-clique;{6,7}@{4,5}:cone;{5,6,7}@{2,4}:cone;{5,6,7,8}@{2,4}:base-clique;{4,5,6,7,8}@{1,2}:base-clique;{4,5,6,7,8}@{1,2}:cone",,32,1,5,0,True,True,True
ddgp-p2-n8-0003,ddgp,2,8,2,3-5;5-6,"{1,2,3,4,5,6}","{4,5,6}",3,6,3,8,0,0,1,4,3,3,0,1,True,"{6}@{2,3}:base-clique;{6}@{2,3}:cone;{5}@{1,4}:base-clique;{5}@{1,4}:cone;{4,5}@{1,3}:base-clique;{4,5}@{1,3}:cone",,8,1,3,0,True,True,True
ddgp-p2-n8-0004,ddgp,2,8,2,2-8;4-8,"{1,2,3,4,8}","{4,8}",2,3,2,4,0,0,1,2,2,2,0,1,True,"{8}@{1,3}:cone;{4}@{1,3}:cone;{4,8}@{1,3}:base-clique",,4,1,2,0,True,True,True
ddgp-p2-n8-0005,ddgp,2,8,2,2-6;7-8,"{1,2,3,4,5,6,7,8}","{4,5,6,7,8}",5,10,5,32,0,0,1,6,5,5,0,1,True,"{8}@{1,6}:base-clique;{8}@{1,6}:cone;{7}@{4,5}:base-clique;{7}@{4,5}:cone;{6,8}@{1,3}:base-clique;{6,8}@{1,3}:cone;{5,7}@{3,4}:base-clique;{5,7}@{3,4}:cone;{4,5,7}@{2,3}:base-clique;{4,5,7}@{2,3}:cone",,32,1,5,0,True,True,True
ddgp-p2-n8-0006,ddgp,2,8,2,1-7;3-8,"{1,2,3,4,5,7,8}","{4,5,7,8}",4,4,2,4,0,0,1,2,2,2,0,1,True,"{8}@{4,5}:base-clique;{8}@{4,5}:cone;{7}@{2,4}:base-clique;{7}@{2,4}:cone",,4,1,2,0,True,True,True
ddgp-p2-n8-0007,ddgp,2,8,2,1-5;3-7,"{1,2,3,4,5,7}","{4,5,7}",3,2,1,2,0,0,1,1,1,1,0,1,True,"{7}@{4,5}:base-clique;{7}@{4,5}:cone",,2,1,1,0,True,True,True
ddgp-p2-n8-0008,ddgp,2,8,2,2-4;3-8,"{1,2,3,4,5,8}","{4,5,8}",3,4,2,4,0,0,1,2,2,2,0,1,True,"{8}@{1,5}:base-clique;{8}@{1,5}:cone;{4,5,8}@{1,3}:base-clique;{4,5,8}@{1,3}:cone",,4,1,2,0,True,True,True
ddgp-p2-n8-0009,ddgp,2,8,2,6-7;6-8,"{1,2,3,4,5,6,7,8}","{4,5,6,7,8}",5,6,3,8,0,0,1,4,3,3,0,1,True,"{8}@{2,5}:base-clique;{8}@{2,5}:cone;{7}@{3,5}:base-clique;{7}@{3,5}:cone;{6}@{1,2}:base-clique;{6}@{1,2}:cone",,8,1,3,0,True,True,True
ddgp-p2-n8-0010,ddgp,2,8,2,1-8;6-7,"{1,2,3,4,6,7,8}","{4,6,7,8}",4,8,4,16,0,0,1,4,4,4,0,1,True,"{8}@{4,6}:base-clique;{8}@{4,6}:cone;{7}@{1,3}:base-clique;{7}@{1,3}:cone;{6,8}@{1,4}:base-clique;{6,8}@{1,4}:cone;{4,6,8}@{1,2}:base-clique;{4,6,8}@{1,2}:cone",,16,1,4,0,True,True,True
ddgp-p2-n8-0011,ddgp,2,8,2,5-6;6-7,"{1,2,3,4,5,6,7}","{4,5,6,7}",4,4,2,4,0,0,1,2,2,2,0,1,True,"{7}@{2,3}:base-clique;{7}@{2,3}:cone;{5}@{1,4}:base-clique;{5}@{1,4}:cone",,4,1,2,0,True,True,True
ddgp-p2-n8-0012,ddgp,2,8,2,3-4;4-5,"{1,2,3,4,5}","{4,5}",2,3,2,4,0,0,1,2,2,2,0,1,True,"{5}@{1,2}:cone;{4}@{1,2}:cone;{4,5}@{1,2}:base-clique",,4,1,2,0,True,True,True
ddgp-p2-n8-0013,ddgp,2,8,2,1-7;1-8,"{1,2,3,4,5,6,7,8}","{4,5,6,7,8}",5,2,1,2,0,0,1,1,1,1,0,1,True,"{8}@{3,7}:base-clique;{8}@{3,7}:cone",,2,1,1,0,True,True,True
ddgp-p2-n8-0014,ddgp,2,8,2,6-7;6-8,"{2,3,4,5,6,7,8}","{4,5,6,7,8}",5,7,4,16,4,2,4,3,2,4,2,4,True,"{8}@{2,7}:base-clique;{8}@{2,7}:cone;{6}@{4,5}:cone;{5,6,7,8}@{2,4}:base-clique;{5,6,7,8}@{2,4}:cone;{4,5,6,7,8}@{2,3}:base-clique;{4,5,6,7,8}@{2,3}:cone","{5,6,7,8}@{2,4}:base-clique;{5,6,7,8}@{2,4}:cone;{4,5,6,7,8}@{2,3}:base-clique;{4,5,6,7,8}@{2,3}:cone",16,4,4,2,True,True,True
ddgp-p2-n8-0015,ddgp,2,8,2,3-5;7-8,"{1,2,3,4,5,6,7,8}","{4,5,6,7,8}",5,6,3,8,0,0,1,4,3,3,0,1,True,"{8}@{2,6}:base-clique;{8}@{2,6}:cone;{7}@{1,3}:base-clique;{7}@{1,3}:cone;{4,5,6,8}@{1,2}:base-clique;{4,5,6,8}@{1,2}:cone",,8,1,3,0,True,True,True
ddgp-p2-n8-0016,ddgp,2,8,2,2-8;5-6,"{1,2,3,4,5,6,8}","{4,5,6,8}",4,3,2,4,0,0,1,2,2,2,0,1,True,"{8}@{3,6}:base-clique;{8}@{3,6}:cone;{5}@{1,2}:cone",,4,1,2,0,True,True,True
ddgp-p2-n8-0017,ddgp,2,8,2,2-5;2-8,"{1,2,3,4,5,6,8}","{4,5,6,8}",4,5,3,8,0,0,1,3,3,3,0,1,True,"{8}@{4,6}:base-clique;{8}@{4,6}:cone;{6,8}@{3,4}:base-clique;{6,8}@{3,4}:cone;{5}@{1,3}:cone",,8,1,3,0,True,True,True
ddgp-p2-n8-0018,ddgp,2,8,2,2-8;3-8,"{1,2,3,5,6,8}","{5,6,8}",3,3,2,4,0,0,1,3,2,2,0,1,True,"{8}@{5,6}:base-clique;{8}@{5,6}:cone;{5,6,8}@{1,2}:base-clique",,4,1,2,0,True,True,True
ddgp-p2-n8-0019,ddgp,2,8,2,1-6;5-8,"{1,2,3,4,5,6,8}","{4,5,6,8}",4,4,2,4,0,0,1,3,2,2,0,1,True,"{8}@{3,6}:base-clique;{8}@{3,6}:cone;{6,8}@{3,4}:base-clique;{6,8}@{3,4}:cone",,4,1,2,0,True,True,True
ddgp-p2-n8-0020,ddgp,2,8,2,4-7;7-8,"{1,2,3,4,5,7,8}","{4,5,7,8}",4,6,3,8,0,0,1,5,3,3,0,1,True,"{8}@{1,5}:base-clique;{8}@{1,5}:cone;{7}@{1,3}:base-clique;{7}@{1,3}:cone;{4,5,8}@{1,2}:base-clique;{4,5,8}@{1,2}:cone",,8,1,3,0,True,True,True
ddgp-p2-n8-0021,ddgp,2,8,2,2-7;2-8,"{1,2,3,4,7,8}","{4,7,8}",3,6,3,8,0,0,1,5,3,3,0,1,True,"{8}@{4,7}:base-clique;{8}@{4,7}:cone;{7,8}@{1,4}:base-clique;{7,8}@{1,4}:cone;{4,7,8}@{1,3}:base-clique;{4,7,8}@{1,3}:cone",,8,1,3,0,True,True,True
ddgp-p2-n8-0022,ddgp,2,8,2,5-7;6-8,"{1,2,3,4,5,6,7,8}","{4,5,6,7,8}",5,6,4,16,0,0,1,4,4,4,0,1,True,"{8}@{2,4}:base-clique;{8}@{2,4}:cone;{7}@{1,2}:cone;{6}@{3,4}:cone;{5}@{3,4}:cone;{5,6}@{3,4}:base-clique",,16,1,4,0,True,True,True
ddgp-p2-n8-0023,ddgp,2,8,2,4-8;6-7,"{1,2,3,4,5,6,7,8}","{4,5,6,7,8}",5,4,2,4,0,0,1,2,2,2,0,1,True,"{8}@{2,6}:base-clique;{8}@{2,6}:cone;{7}@{3,5}:base-clique;{7}@{3,5}:cone",,4,1,2,0,True,True,True
ddgp-p2-n8-0024,ddgp,2,8,2,3-7;3-8,"{1,3,4,6,7,8}","{4,6,7,8}",4,5,3,8,1,1,2,3,2,3,1,2,True,"{8}@{6,7}:base-clique;{8}@{6,7}:cone;{7,8}@{4,6}:base-clique;{7,8}@{4,6}:cone;{4,6,7,8}@{1,3}:base-clique","{4,6,7,8}@{1,3}:base-clique",8,2,3,1,True,True,True
ddgp-p2-n8-0025,ddgp,2,8,2,2-7;3-5,"{1,2,3,4,5,7}","{4,5,7}",3,4,2,4,0,0,1,2,2,2,0,1,True,"{7}@{1,3}:base-clique;{7}@{1,3}:cone;{4,5}@{1,2}:base-clique;{4,5}@{1,2}:cone",,4,1,2,0,True,True,True
ddgp-p2-n8-0026,ddgp,2,8,2,5-6;7-8,"{1,2,3,5,6,7,8}","{5,6,7,8}",4,7,4,16,1,1,2,3,3,4,1,2,True,"{8}@{3,6}:cone;{7}@{3,6}:cone;{7,8}@{3,6}:base-clique;{6,7,8}@{2,3}:base-clique;{6,7,8}@{2,3}:cone;{5}@{1,2}:base-clique;{5}@{1,2}:cone","{7,8}@{3,6}:base-clique",16,2,4,1,True,True,True
ddgp-p2-n8-0027,ddgp,2,8,2,2-5;6-7,"{1,2,3,4,5,6,7}","{4,5,6,7}",4,7,4,16,0,0,1,4,4,4,0,1,True,"{7}@{3,4}:cone;{6}@{3,5}:base-clique;{6}@{3,5}:cone;{5,6}@{3,4}:cone;{5,6,7}@{3,4}:base-clique;{4,5,6,7}@{1,3}:base-clique;{4,5,6,7}@{1,3}:cone",,16,1,4,0,True,True,True
