id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,graph_generator_count,graph_generator_rank,base_labelled_violation_count,base_labelled_violation_rank,base_combined_mask_violation_rank,base_kernel_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,valid_labelled_violation_count,valid_labelled_violation_rank,valid_combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,base_rank_identity_holds,valid_rank_identity_holds,graph_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-last-seed-0001,ddgp,2,10,1,3-10,"{1,2,3,4,5,9,10}","{4,5,9,10}",4,8,4,8,3,4,1,2,0,0,1,10,4,4,0,1,True,True,"{10}@{5,9}:base-clique;{10}@{5,9}:cone;{9,10}@{2,4}:base-clique;{9,10}@{2,4}:cone;{5,10}@{2,3}:base-clique;{5,10}@{2,3}:cone;{4,9,10}@{1,3}:base-clique;{4,9,10}@{1,3}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0002,ddgp,2,10,1,3-10,"{2,3,4,10}","{4,10}",2,4,2,0,0,2,2,4,2,1,2,1,1,2,1,2,True,True,"{10}@{2,4}:base-clique;{10}@{2,4}:cone;{4,10}@{2,3}:base-clique;{4,10}@{2,3}:cone","{4,10}@{2,3}:base-clique;{4,10}@{2,3}:cone",4,2,2,1,True,True,True
ddgp-last-seed-0003,ddgp,2,10,1,2-10,"{1,2,3,5,6,8,10}","{5,6,8,10}",4,8,4,6,3,4,1,2,0,0,1,9,4,4,0,1,True,True,"{10}@{6,8}:base-clique;{10}@{6,8}:cone;{8,10}@{3,5}:base-clique;{8,10}@{3,5}:cone;{6,10}@{2,3}:base-clique;{6,10}@{2,3}:cone;{5,8,10}@{1,3}:base-clique;{5,8,10}@{1,3}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0004,ddgp,2,10,1,1-10,"{1,2,3,5,6,7,10}","{5,6,7,10}",4,8,4,6,3,4,1,2,0,0,1,9,4,4,0,1,True,True,"{10}@{2,7}:base-clique;{10}@{2,7}:cone;{7,10}@{5,6}:base-clique;{7,10}@{5,6}:cone;{6,7,10}@{1,5}:base-clique;{6,7,10}@{1,5}:cone;{5,6,7,10}@{2,3}:base-clique;{5,6,7,10}@{2,3}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0005,ddgp,2,10,1,2-10,"{2,3,5,6,9,10}","{5,6,9,10}",4,8,4,0,0,4,4,16,2,1,2,3,3,4,1,2,True,True,"{10}@{5,9}:base-clique;{10}@{5,9}:cone;{9,10}@{5,6}:base-clique;{9,10}@{5,6}:cone;{6,9,10}@{3,5}:base-clique;{6,9,10}@{3,5}:cone;{5,6,9,10}@{2,3}:base-clique;{5,6,9,10}@{2,3}:cone","{5,6,9,10}@{2,3}:base-clique;{5,6,9,10}@{2,3}:cone",16,2,4,1,True,True,True
ddgp-last-seed-0006,ddgp,2,10,1,1-10,"{1,2,3,4,5,6,10}","{4,5,6,10}",4,8,4,6,3,4,1,2,0,0,1,9,4,4,0,1,True,True,"{10}@{4,6}:base-clique;{10}@{4,6}:cone;{6,10}@{3,5}:base-clique;{6,10}@{3,5}:cone;{5,6,10}@{1,4}:base-clique;{5,6,10}@{1,4}:cone;{4,5,6,10}@{2,3}:base-clique;{4,5,6,10}@{2,3}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0007,ddgp,2,10,1,1-10,"{1,2,3,5,10}","{5,10}",2,4,2,1,1,2,1,2,0,0,1,3,2,2,0,1,True,True,"{10}@{3,5}:base-clique;{10}@{3,5}:cone;{5,10}@{2,3}:base-clique;{5,10}@{2,3}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0008,ddgp,2,10,1,1-10,"{1,2,3,4,8,10}","{4,8,10}",3,6,3,4,2,3,1,2,0,0,1,6,3,3,0,1,True,True,"{10}@{2,8}:base-clique;{10}@{2,8}:cone;{8,10}@{1,4}:base-clique;{8,10}@{1,4}:cone;{4,8,10}@{2,3}:base-clique;{4,8,10}@{2,3}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0009,ddgp,2,10,1,1-10,"{1,2,3,4,6,8,9,10}","{4,6,8,9,10}",5,10,5,8,3,5,2,4,0,0,1,12,5,5,0,1,True,True,"{10}@{3,9}:base-clique;{10}@{3,9}:cone;{9,10}@{6,8}:base-clique;{9,10}@{6,8}:cone;{8,9,10}@{3,6}:base-clique;{8,9,10}@{3,6}:cone;{6,8,9,10}@{2,4}:base-clique;{6,8,9,10}@{2,4}:cone;{4,6,8,9,10}@{1,3}:base-clique;{4,6,8,9,10}@{1,3}:cone",,4,1,2,0,True,True,True
ddgp-last-seed-0010,ddgp,2,10,1,2-10,"{1,2,3,4,5,7,10}","{4,5,7,10}",4,8,4,4,1,4,3,8,0,0,1,7,4,4,0,1,True,True,"{10}@{3,7}:base-clique;{10}@{3,7}:cone;{7,10}@{3,5}:base-clique;{7,10}@{3,5}:cone;{5,7,10}@{3,4}:base-clique;{5,7,10}@{3,4}:cone;{4,5,7,10}@{1,2}:base-clique;{4,5,7,10}@{1,2}:cone",,8,1,3,0,True,True,True
ddgp-last-seed-0011,ddgp,2,10,1,3-10,"{1,2,3,4,5,6,8,10}","{4,5,6,8,10}",5,10,5,10,3,5,2,4,0,0,1,14,5,5,0,1,True,True,"{10}@{6,8}:base-clique;{10}@{6,8}:cone;{8,10}@{4,6}:base-clique;{8,10}@{4,6}:cone;{6,8,10}@{2,5}:base-clique;{6,8,10}@{2,5}:cone;{5,6,8,10}@{1,3}:base-clique;{5,6,8,10}@{1,3}:cone;{4,8,10}@{1,2}:base-clique;{4,8,10}@{1,2}:cone",,4,1,2,0,True,True,True
ddgp-last-seed-0012,ddgp,2,10,1,2-10,"{1,2,3,7,10}","{7,10}",2,4,2,0,0,2,2,4,0,0,1,2,2,2,0,1,True,True,"{10}@{1,7}:base-clique;{10}@{1,7}:cone;{7,10}@{1,3}:base-clique;{7,10}@{1,3}:cone",,4,1,2,0,True,True,True
ddgp-last-seed-0013,ddgp,2,10,1,1-10,"{1,2,3,4,5,7,8,9,10}","{4,5,7,8,9,10}",6,12,6,12,5,6,1,2,0,0,1,16,6,6,0,1,True,True,"{10}@{7,9}:base-clique;{10}@{7,9}:cone;{9,10}@{4,8}:base-clique;{9,10}@{4,8}:cone;{8,9,10}@{2,4}:base-clique;{8,9,10}@{2,4}:cone;{7,10}@{1,5}:base-clique;{7,10}@{1,5}:cone;{5,7,10}@{1,4}:base-clique;{5,7,10}@{1,4}:cone;{4,5,7,8,9,10}@{2,3}:base-clique;{4,5,7,8,9,10}@{2,3}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0014,ddgp,2,10,1,2-10,"{1,2,3,4,6,10}","{4,6,10}",3,6,3,4,2,3,1,2,0,0,1,5,3,3,0,1,True,True,"{10}@{4,6}:base-clique;{10}@{4,6}:cone;{6,10}@{1,2}:base-clique;{6,10}@{1,2}:cone;{4,10}@{2,3}:base-clique;{4,10}@{2,3}:cone",,2,1,1,0,True,True,True
