id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,base_generator_count,base_generator_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,labelled_violation_count,labelled_violation_rank,combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,rank_identity_holds,base_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-last-seed-0001,ddgp,2,11,1,2-11,"{1,2,3,4,5,6,7,8,11}","{4,5,6,7,8,11}",6,2,1,2,0,0,1,1,1,1,0,1,True,"{11}@{5,8}:base-clique;{11}@{5,8}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0002,ddgp,2,11,1,1-11,"{1,2,4,6,11}","{4,6,11}",3,4,2,4,2,1,2,1,1,2,1,2,True,"{11}@{2,6}:base-clique;{11}@{2,6}:cone;{4,6,11}@{1,2}:base-clique;{4,6,11}@{1,2}:cone","{4,6,11}@{1,2}:base-clique;{4,6,11}@{1,2}:cone",4,2,2,1,True,True,True
ddgp-last-seed-0003,ddgp,2,11,1,3-11,"{2,3,4,9,11}","{4,9,11}",3,4,2,4,2,1,2,1,1,2,1,2,True,"{11}@{2,9}:base-clique;{11}@{2,9}:cone;{4,9,11}@{2,3}:base-clique;{4,9,11}@{2,3}:cone","{4,9,11}@{2,3}:base-clique;{4,9,11}@{2,3}:cone",4,2,2,1,True,True,True
ddgp-last-seed-0004,ddgp,2,11,1,3-11,"{1,2,3,11}",{11},1,2,1,2,0,0,1,1,1,1,0,1,True,"{11}@{1,2}:base-clique;{11}@{1,2}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0005,ddgp,2,11,1,3-11,"{1,2,3,4,5,7,8,9,10,11}","{4,5,7,8,9,10,11}",7,2,1,2,0,0,1,1,1,1,0,1,True,"{11}@{5,10}:base-clique;{11}@{5,10}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0006,ddgp,2,11,1,2-11,"{1,2,3,4,5,6,11}","{4,5,6,11}",4,2,1,2,0,0,1,1,1,1,0,1,True,"{11}@{4,6}:base-clique;{11}@{4,6}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0007,ddgp,2,11,1,3-11,"{1,3,4,6,8,11}","{4,6,8,11}",4,8,4,16,4,2,4,2,2,4,2,4,True,"{11}@{6,8}:base-clique;{11}@{6,8}:cone;{8,11}@{4,6}:base-clique;{8,11}@{4,6}:cone;{6,8,11}@{3,4}:base-clique;{6,8,11}@{3,4}:cone;{4,6,8,11}@{1,3}:base-clique;{4,6,8,11}@{1,3}:cone","{6,8,11}@{3,4}:base-clique;{6,8,11}@{3,4}:cone;{4,6,8,11}@{1,3}:base-clique;{4,6,8,11}@{1,3}:cone",16,4,4,2,True,True,True
ddgp-last-seed-0008,ddgp,2,11,1,3-11,"{1,2,3,4,5,6,10,11}","{4,5,6,10,11}",5,2,1,2,0,0,1,1,1,1,0,1,True,"{11}@{5,10}:base-clique;{11}@{5,10}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0009,ddgp,2,11,1,1-11,"{1,2,3,4,5,7,10,11}","{4,5,7,10,11}",5,6,3,8,0,0,1,3,3,3,0,1,True,"{11}@{3,10}:base-clique;{11}@{3,10}:cone;{10,11}@{3,7}:base-clique;{10,11}@{3,7}:cone;{4,5,7,10,11}@{2,3}:base-clique;{4,5,7,10,11}@{2,3}:cone",,8,1,3,0,True,True,True
ddgp-last-seed-0010,ddgp,2,11,1,2-11,"{1,2,3,11}",{11},1,2,1,2,0,0,1,1,1,1,0,1,True,"{11}@{1,3}:base-clique;{11}@{1,3}:cone",,2,1,1,0,True,True,True
